Reference, Value, Footprint, Datasheet
U2,POLOLU_A4988,satnogs:SWDIP8_.6W,
P1,uC_Board,Pin_Headers:Pin_Header_Straight_1x18,
P2,POWER IN,Connect:bornier2,
P4,MOTOR 2,Connect:bornier4,
P3,MOTOR 1,Connect:bornier4,
R2,100k,Resistors_SMD:R_0805_HandSoldering,
C2,100u,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,
U1,POLOLU_A4988,satnogs:SWDIP8_.6W,
R1,100k,Resistors_SMD:R_0805_HandSoldering,
C1,100u,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,
JP2,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,
JP1,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,
JP3,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,
JP5,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,
JP4,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,
JP6,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,
